"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2834","should sign in successfully with valid credentials","firefox","Fri Apr 17 15:41:12 UTC 2026","passed","Fri Apr 17 15:41:15 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","1442","should display navigation links","webkit","Fri Apr 17 15:42:25 UTC 2026","passed","Fri Apr 17 15:42:26 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","1878","should navigate to About page","webkit","Fri Apr 17 15:42:40 UTC 2026","passed","Fri Apr 17 15:42:42 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","862","should have a page title","firefox","Fri Apr 17 15:40:33 UTC 2026","passed","Fri Apr 17 15:40:34 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2889","should handle XSS attempt","firefox","Fri Apr 17 15:41:44 UTC 2026","passed","Fri Apr 17 15:41:47 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","2569","should load sign in page with form elements","firefox","Fri Apr 17 15:41:01 UTC 2026","passed","Fri Apr 17 15:41:04 UTC 2026","Sign In Page Tests > Navigation","signIn.spec.js","",""
"","3572","should display all form elements","webkit","Fri Apr 17 15:43:08 UTC 2026","passed","Fri Apr 17 15:43:12 UTC 2026","Sign In Page Tests > UI Elements Visibility","signIn.spec.js","",""
"","791","should display correctly on mobile viewport","firefox","Fri Apr 17 15:40:56 UTC 2026","passed","Fri Apr 17 15:40:57 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2647","should navigate to forget password page","firefox","Fri Apr 17 15:41:24 UTC 2026","passed","Fri Apr 17 15:41:27 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","3518","should allow typing in form fields","webkit","Fri Apr 17 15:43:26 UTC 2026","passed","Fri Apr 17 15:43:30 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","564","should display hero section","chromium","Fri Apr 17 15:39:04 UTC 2026","passed","Fri Apr 17 15:39:04 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","817","should display hamburger menu on mobile","firefox","Fri Apr 17 15:40:58 UTC 2026","passed","Fri Apr 17 15:40:58 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","3567","should sign in with remember me checked","webkit","Fri Apr 17 15:43:23 UTC 2026","passed","Fri Apr 17 15:43:26 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","2604","should display all form elements","firefox","Fri Apr 17 15:41:04 UTC 2026","passed","Fri Apr 17 15:41:07 UTC 2026","Sign In Page Tests > UI Elements Visibility","signIn.spec.js","",""
"","2617","should handle long email input","firefox","Fri Apr 17 15:41:50 UTC 2026","passed","Fri Apr 17 15:41:52 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","3299","should display correctly on tablet","firefox","Fri Apr 17 15:42:09 UTC 2026","passed","Fri Apr 17 15:42:13 UTC 2026","Sign In Page Tests > Responsive Tests","signIn.spec.js","",""
"","2602","should navigate to sign up page","chromium","Fri Apr 17 15:39:47 UTC 2026","passed","Fri Apr 17 15:39:50 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","851","should display the logo","firefox","Fri Apr 17 15:40:35 UTC 2026","passed","Fri Apr 17 15:40:36 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","755","should navigate to Contact page","chromium","Fri Apr 17 15:39:10 UTC 2026","passed","Fri Apr 17 15:39:11 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","1388","should display Get a demo link in navigation","webkit","Fri Apr 17 15:42:29 UTC 2026","passed","Fri Apr 17 15:42:30 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2975","should display correctly on mobile","chromium","Fri Apr 17 15:40:25 UTC 2026","passed","Fri Apr 17 15:40:28 UTC 2026","Sign In Page Tests > Responsive Tests","signIn.spec.js","",""
